Epact,D.L.,Day,Feast,Rank,Month
xxix,g,26,"St. Zephyrinus, Bishop & Martyr",M,8
xxviii,A,27,,,8
xxvii,b,28,"St. Augustine of Hippo, Bishop, Confessor & Doctor",Gd,8
,,,"St. Hermes, Martyr",M,8
xxvi,c,29,X Sunday after Pentecost [IX Trinity],Sd,8
,,,Beheading of St. John Baptist,Gd,8
,,,"St. Sabina, Martyr",M,8
,,,(I of September),,8
25 xxv,d,30,"Ss. Felix & Adauctus, Martyrs",M,8
xxiv,e,31,"St. Aidan of Lindisfarne, Bishop & Confessor",M,8
xxiii,f,1,"St. Giles, Abbot",M,9
,,,"Twelve Holy Brothers, Martyrs",M,9
xxii,g,2,"St. Stephen of Hungary, King & Confessor",M,9
xxi,A,3,,,9
xx,b,4,"St. Gorazde of Prague, Bishop & Martyr",D,9
xix,c,5,XI Sunday after Pentecost [X Trinity],Sd,9
,,,(II of September),,9
xviii,d,6,,,9
xvii,e,7,,,9
xvi,f,8,The Nativity of The B.V.M.,D2,9
,,,"St. Hadrian, Martyr",M,9
xv,g,9,"St. Gorgonius, Martyr",M,9
xiv,A,10,,,9
xiii,b,11,The Most Holy Name of Mary,Gd,9
,,,"Ss. Protus & Hyacinth, Martyrs",M,9
xii,c,12,XII Sunday after Pentecost [XI Trinity],Sd,9
,,,(III of September),,9
xi,d,13,,,9
x,e,14,Exaltation of the Holy Cross,Gd,9
ix,f,15,Seven Sorrows of the B.V.M.,D2,9
,,,Ember Wednesday in September,F2,9
,,,Octave of the Nativity of The B.V.M.,ODS,9
,,,"St. Nicomedes, Martyr",M,9
viii,g,16,"Ss. Cornelius & Cyprian, Bishops & Martyrs",D,9
,,,"Ss. Euphemia, Lucy & Geminian, Martyrs",M,9
vii,A,17,Ember Friday in September,F2,9
vi,b,18,Ember Saturday in September,F2,9
v,c,19,XIII Sunday after Pentecost [XII Trinity],Sd,9
,,,"St. Januarius & companions, Martyrs",D,9
,,,"St. Theodore of Canterbury, Bishop & Confessor",M,9
,,,(IV of September),,9
iv,d,20,"St. Eustace & companions, Martyrs",D,9
,,,Vigil of St. Matthew,V,9
iii,e,21,"St. Matthew, Apostle & Evangelist",D2,9
ii,f,22,"St. Maurice & companions, Martyrs",M,9
i,g,23,"St. Linus, Bishop & Martyr",M,9
,,,"St. Thecla, Virgin & Martyr",M,9
*,A,24,,,9
xxix,b,25,Saturday Office of the B.V.M.,S,9
,,,,,9
xxviii,c,26,XIV Sunday after Pentecost [XIII Trinity],Sd,9
,,,"Ss. Cyprian & Justina, Martyrs",M,9
,,,(V of September),,9
xxvii,d,27,"Ss. Cosmas & Damian, Martyrs",M,9
25 xxvi,e,28,"St. Wenceslaus, Duke, Martyr",M,9
xxv,f,29,Dedication of St. Michael the Archangel,D1,9
xxiii,g,30,"St. Jerome, Priest, Confessor & Doctor",Gd,9
,,,"St. Gregory of Armenia, Bishop & Confessor",M,9
xxii,A,1,"St. Remigius, Bishop & Confessor",M,10
xxi,b,2,Holy Guardian Angels,Gd,10
xx,c,3,XV Sunday after Pentecost [XIV Trinity],Sd,10
,,,(I of October),,10
xix,d,4,,,10
xviii,e,5,"St. Placidus & companions, Martyrs",D,10
xvii,f,6,,,10
xvi,g,7,The Holy Rosary of the B.V.M.,Gd,10
,,,"St. Mark of Rome, Bishop & Confessor",M,10
,,,"Ss. Sergius, Bacchus, Marcellus & Apuleius, Martyrs",M,10
xv,A,8,,,10
xiv,b,9,Saturday Office of the B.V.M.,S,10
,,,"Ss. Denys, Rusticus & Eleutherius, Martyrs",M,10
xiii,c,10,XVI Sunday after Pentecost [XV Trinity],Sd,10
,,,(II of October),,10
xii,d,11,Motherhood of the B.V.M.,D2,10
xi,e,12,"St. Wilfrid, Bishop & Confessor",M,10
x,f,13,"St. Edward, King & Confessor",M,10
ix,g,14,"St. Callistus, Bishop & Martyr",D,10
viii,A,15,Our Lady of Walsingham,D,10
vii,b,16,Saturday Office of the B.V.M.,S,10
,,,,,10
vi,c,17,XVII Sunday after Pentecost [XVI Trinity],Sd,10
,,,(III of October),,10
v,d,18,"St. Luke, Evangelist",D2,10
iv,e,19,"St. Frideswide, Virgin",M,10
iii,f,20,,,10
ii,g,21,"St. Hilarion, Abbot",M,10
,,,"Ss. Ursula & companions, Martyrs",M,10
i,A,22,,,10
*,b,23,Saturday Office of the B.V.M.,S,10
,,,,,10
xxix,c,24,XVIII Sunday after Pentecost [XVII Trinity],Sd,10
,,,St. Raphael the Archangel,Gd,10
,,,(IV of October),,10
xxviii,d,25,"Ss. Chrysanthus & Daria, Martyrs",M,10
xxvii,e,26,"St. Evaristus, Bishop & Martyr",M,10
xxvi,f,27,Vigil of Ss. Simon & Jude,V,10
25 xxv,g,28,"Ss. Simon & Jude, Apostles",D2,10
xxiv,A,29,,,10
xxiii,b,30,Vigil of All Saints,V,10
xxii,c,31,The Feast of Our Lord Jesus Christ the King,D1,10
,,,XIX Sunday after Pentecost [XVIII Trinity],Sd,10
,,,(I of November),,10
xxi,d,1,The Feast of All Saints,"D1, OC",11
xx,e,2,Commemoration of All the Faithful Departed,D,11
,,,(All Souls’ Day),,11
,,,Day II within the Octave of All Saints,Sd,11
xix,f,3,Day III within the Octave of All Saints,Sd,11
,,,"St. Winifred, Virgin & Martyr",M,11
xviii,g,4,Day IV within the Octave of All Saints,Sd,11
,,,"Ss. Vitalis & Agricola, Martyrs",M,11
xvii,A,5,Day V within the Octave of All Saints,Sd,11
,,,"St. Elizabeth, Mother of St. John Baptist",M,11
xvi,b,6,Day VI within the Octave of All Saints,Sd,11
xv,c,7,XX Sunday after Pentecost [XIX Trinity],Sd,11
,,,Day VII within the Octave of All Saints,Sd,11
,,,"St. Willibrord, Bishop & Confessor",M,11
,,,(III of November),,11
xiv,d,8,Octave Day of All Saints,Gd,11
,,,Four Crowned Martyrs,M,11
xiii,e,9,Dedication of The Basilica of St. Saviour,D2,11
,,,"St. Theodore Tyro, Martyr",M,11
xii,f,10,"Ss. Tryphon, Respicius & Nympha, Martyrs",M,11
xi,g,11,"St. Martin of Tours, Bishop & Confessor",Gd,11
,,,"St. Mennas, Martyr",M,11
x,A,12,"St. Martin I, Bishop & Martyr",M,11
ix,b,13,Saturday Office of the B.V.M.,S,11
,,,"St. Britius of Tours, Bishop & Confessor",M,11
viii,c,14,XXI Sunday after Pentecost [XX Trinity],Sd,11
,,,"St. Gregory Palamas, Bishop & Confessor",M,11
,,,(IV of November),,11
vii,d,15,,,11
vi,e,16,,,11
v,f,17,"St. Gregory the Wonder-worker, Bishop & Confessor",M,11
,,,"St. Hilda of Whitby, Virgin",M,11
iv,g,18,Dedication of the Basilica of the Holy Apostles Peter & Paul,Gd,11
iii,A,19,"St. Pontianus, Bishop & Martyr",M,11
ii,b,20,Office of the XXII Sunday After Pentecost [XXI Trinity],Sd,11
,,,"St. Edmund, King & Martyr",D,11
i,c,21,XXIV and Last Sunday after Pentecost [Sunday Next Before Advent],Sd,11
,,,The Presentation of the B.V.M.,Gd,11
,,,"St. Gelasius, Bishop & Confessor",M,11
,,,"St. Columbanus, Abbot",M,11
,,,(V of November),,11
*,d,22,"St. Cecilia, Virgin & Martyr",D,11
xxix,e,23,"St. Clement, Bishop & Martyr",D,11
,,,"St. Felicitas, Martyr",M,11
xxviii,f,24,"St. Chrysogonus, Martyr",M,11
xxvii,g,25,"St. Catherine of Alexandria, Virgin & Martyr",D,11
25 xxvi,A,26,"St. Peter of Alexandria, Bishop & Martyr",M,11
xxv,b,27,Saturday Office of the B.V.M.,S,11
,,,,,11
xxiii,c,28,I Sunday in Advent,Sd1,11
